"productkey","englishproductname","modelname","englishproductcategoryname","englishproductsubcategoryname"
588,"Mountain-400-W Silver, 40","Mountain-400-W","Bikes","Mountain Bikes"
589,"Mountain-400-W Silver, 42","Mountain-400-W","Bikes","Mountain Bikes"
590,"Mountain-400-W Silver, 46","Mountain-400-W","Bikes","Mountain Bikes"
591,"Mountain-500 Silver, 40","Mountain-500","Bikes","Mountain Bikes"
592,"Mountain-500 Silver, 42","Mountain-500","Bikes","Mountain Bikes"
593,"Mountain-500 Silver, 44","Mountain-500","Bikes","Mountain Bikes"
594,"Mountain-500 Silver, 48","Mountain-500","Bikes","Mountain Bikes"
595,"Mountain-500 Silver, 52","Mountain-500","Bikes","Mountain Bikes"
596,"Mountain-500 Black, 40","Mountain-500","Bikes","Mountain Bikes"
597,"Mountain-500 Black, 42","Mountain-500","Bikes","Mountain Bikes"
598,"Mountain-500 Black, 44","Mountain-500","Bikes","Mountain Bikes"
599,"Mountain-500 Black, 48","Mountain-500","Bikes","Mountain Bikes"
600,"Mountain-500 Black, 52","Mountain-500","Bikes","Mountain Bikes"
601,"LL Bottom Bracket","LL Bottom Bracket","Components","Bottom Brackets"
602,"ML Bottom Bracket","ML Bottom Bracket","Components","Bottom Brackets"
603,"HL Bottom Bracket","HL Bottom Bracket","Components","Bottom Brackets"
604,"Road-750 Black, 44","Road-750","Bikes","Road Bikes"
605,"Road-750 Black, 48","Road-750","Bikes","Road Bikes"
606,"Road-750 Black, 52","Road-750","Bikes","Road Bikes"
